Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;EUROVOC Concept URI;EUROVOC Concept's PrefLabel;Broaders Of  EUROVOC Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
metals;tungsten;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tungsteno;http://eurovoc.europa.eu/4577;tungsten;non-ferrous metal;E
metals;vanadium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/vanadio;http://eurovoc.europa.eu/4647;vanadium;non-ferrous metal;E
metals;zinc;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zinco;http://eurovoc.europa.eu/4783;zinc;non-ferrous metal;E
metals;germanium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/germanio;http://eurovoc.europa.eu/6823;special metal;metals;N
metals;indium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/indio;http://eurovoc.europa.eu/6823;special metal;metals;N
metals;zirconium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zirconio;http://eurovoc.europa.eu/1885;non-ferrous metal;metals;N
metals| actinides;actinium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/attinio;http://eurovoc.europa.eu/1840;radioactive materials;nuclear energy| nuclear energy;C
metals| actinides;plutonium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/plutonio;http://eurovoc.europa.eu/2429;plutonium;radioactive materials| radioactive materials;E
metals| actinides;uranium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uranio;http://eurovoc.europa.eu/4617;uranium;radioactive materials| radioactive materials;E
metals| actinides;thorium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/torio;http://eurovoc.europa.eu/1840;radioactive materials;nuclear energy| nuclear energy;N
metals| alkali metals;potassium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/potassio;http://eurovoc.europa.eu/2568;potassium;non-ferrous metal| non-ferrous metal;E
metals| alkali metals;sodium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sodio;http://eurovoc.europa.eu/5288;sodium;non-ferrous metal| non-ferrous metal;E
metals| alkali metals;lithium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/litio;http://eurovoc.europa.eu/1840;radioactive materials;nuclear energy| nuclear energy;NA
metals| alkaline earth metals;beryllium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/berillio;http://eurovoc.europa.eu/3835;beryllium;non-ferrous metal| non-ferrous metal;E
metals| alkaline earth metals;calcium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcio;http://eurovoc.europa.eu/5304;calcium;non-ferrous metal| non-ferrous metal;E
metals| alkaline earth metals;magnesium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/magnesio;http://eurovoc.europa.eu/1736;magnesium;non-ferrous metal| non-ferrous metal;E
metals| alkaline earth metals;radium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/radio;http://eurovoc.europa.eu/1840;radioactive materials;nuclear energy| nuclear energy;N
metals| platinum group;platinum;http://linkeddata.ge.imati.cnr.it/resource/ThIST/platino;http://eurovoc.europa.eu/2424;platinum;precious metal| precious metal;E
metals| Vicenza Italy;gallium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gallio;http://eurovoc.europa.eu/6823;special metal;metals| metals;N
microfossils| Plantae| thallophytes;algae;http://linkeddata.ge.imati.cnr.it/resource/ThIST/algae;http://eurovoc.europa.eu/1204;algae;aquatic plant| aquatic plant| aquatic plant;E
mines;coal mines;http://linkeddata.ge.imati.cnr.it/resource/ThIST/minieradicarbone;http://eurovoc.europa.eu/5387;coal mining;coal industry;E
native elements;graphite;http://linkeddata.ge.imati.cnr.it/resource/ThIST/grafite;http://eurovoc.europa.eu/5261;carbon;chemical element;C
noble gases;krypton;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cripto;http://eurovoc.europa.eu/5290;rare gas;chemical element;C
noble gases;neon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/neon;http://eurovoc.europa.eu/5290;rare gas;chemical element;C
noble gases;argon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/argo;http://eurovoc.europa.eu/5290;rare gas;chemical element;N
noble gases;helium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/elio;http://eurovoc.europa.eu/5290;rare gas;chemical element;N
noble gases;radon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/radon;http://eurovoc.europa.eu/5290;rare gas;chemical element;N
noble gases;xenon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/xeno;http://eurovoc.europa.eu/5290;rare gas;chemical element;N
North Africa| Algeria| Algeri Algeria;Algeri Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Arab League countries| Arab League countries| Arab League countries;E
North Africa| Algeria| Algeri Algeria;Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Arab League countries| Arab League countries| Arab League countries;E
North Africa| Algeria| Algeri Algeria;Algeri Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Maghreb| Maghreb| Maghreb;E
North Africa| Algeria| Algeri Algeria;Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Maghreb| Maghreb| Maghreb;E
North Africa| Algeria| Algeri Algeria;Algeri Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Mediterranean third countries| Mediterranean third countries| Mediterranean third countries;E
North Africa| Algeria| Algeri Algeria;Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;Mediterranean third countries| Mediterranean third countries| Mediterranean third countries;E
North Africa| Algeria| Algeri Algeria;Algeri Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;OPEC countries| OPEC countries| OPEC countries;E
North Africa| Algeria| Algeri Algeria;Algeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aljazair;http://eurovoc.europa.eu/1196;Algeria;OPEC countries| OPEC countries| OPEC countries;E
North America;United States of America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedstates;http://eurovoc.europa.eu/888;United States;APEC countries;E
North America;United States of America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedstates;http://eurovoc.europa.eu/888;United States;Anzus countries;E
North America;United States of America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedstates;http://eurovoc.europa.eu/888;United States;NAFTA countries;E
North America;United States of America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedstates;http://eurovoc.europa.eu/888;United States;NATO countries;E
