oBT,oNT,oRT,o,oPrefLabel,oAltLabels
Ornamental plants,,,http://aims.fao.org/aos/agrovoc/c_13964,Roses,
physiographic features| physiographic features,,Mushroom houses| Storage structures,http://aims.fao.org/aos/agrovoc/c_1397,Caves,
Artiodactyla| Artiodactyla| Artiodactyla,Cervidae| Bovidae| Camelidae,ruminants| ruminants| ruminants,http://aims.fao.org/aos/agrovoc/c_13994,Ruminantia,
Pinaceae| Pinaceae| Pinaceae,Cedrus atlantica| Cedrus deodara| Cedrus libani,,http://aims.fao.org/aos/agrovoc/c_1407,Cedrus,true cedar| true cedar| true cedar
Equipment| Equipment| Equipment| Equipment| Equipment| Equipment| Equipment,radar satellite| Earth observation satellites| artificial satellites| Landsat| Polar-orbiting satellite| Meteorological satellites| geostationary satellite,,http://aims.fao.org/aos/agrovoc/c_14093,Satellites,
Celastrales| Celastrales,Catha| Euonymus,,http://aims.fao.org/aos/agrovoc/c_1410,Celastraceae,
Marine areas| Marine areas| Marine areas| Marine areas| Marine areas,Baltic Sea| Red Sea| Sea of Azov| Black Sea| Mediterranean Sea,,http://aims.fao.org/aos/agrovoc/c_14148,Seas,
Squamata| Squamata| Squamata,Colubridae| Boidae| Viperidae,,http://aims.fao.org/aos/agrovoc/c_14209,Serpentes,
Glucans,Lignocellulose,Lignins,http://aims.fao.org/aos/agrovoc/c_1423,Cellulose,
Construction materials,,,http://aims.fao.org/aos/agrovoc/c_1426,Cement,
Oxides| minerals,,,http://aims.fao.org/aos/agrovoc/c_14283,Silica,
Siblings,,,http://aims.fao.org/aos/agrovoc/c_14314,Sisters,
Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara| Africa South of Sahara,Sao Tome and Principe| Cameroon| Rwanda| Democratic Republic of the Congo| Chad| Burundi| Equatorial Guinea| Congo| Gabon| Central African Republic,,http://aims.fao.org/aos/agrovoc/c_1432,Central Africa,
Americas| Americas| Americas| Americas| Americas| Americas| Americas| Americas,El Salvador| Nicaragua| Guatemala| Honduras| Belize| Panama| Panama Canal Zone| Costa Rica,,http://aims.fao.org/aos/agrovoc/c_1434,Central America,
Radiation,Insolation,,http://aims.fao.org/aos/agrovoc/c_14415,Solar radiation,
soil movement,,,http://aims.fao.org/aos/agrovoc/c_14420,Solifluction,
Spectrometry,,,http://aims.fao.org/aos/agrovoc/c_14497,Spectrophotometry,
Analytical methods| Analytical methods| Analytical methods| Analytical methods| Analytical methods,X ray spectroscopy| Spectrometry| NMR spectroscopy| ESR spectroscopy| Fluorescence emission spectroscopy,,http://aims.fao.org/aos/agrovoc/c_14498,Spectroscopy,
