,s,o,KindOfLink,oBT,oNT,oRT,oPrefLabel,oAltLabels,sBT,sNT,sRT,sPrefLabel,sAltLabels
468,http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfodelleone,http://aims.fao.org/aos/agrovoc/c_50099,E,Mediterranean Sea| gulfs,,,Gulf of Lion,,West Mediterranean| Mediterranean Sea,,Rhone Delta,Gulf of Lion,
469,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluminio,http://aims.fao.org/aos/agrovoc/c_317,E,Metallic elements,,,Aluminium,Al (symbol)| Aluminum,metals,Al-26| Al-27/Al-26,aluminum ores| lithophile elements| bauxite| alumina,aluminum,
470,http://linkeddata.ge.imati.cnr.it/resource/ThIST/antimonio,http://aims.fao.org/aos/agrovoc/c_510,E,Metallic elements,,,Antimony,Sb (symbol),metals,,antimony ores| native elements,antimony,
471,http://linkeddata.ge.imati.cnr.it/resource/ThIST/argento,http://aims.fao.org/aos/agrovoc/c_7068,E,Transition elements,,,Silver,Ag (symbol),metals,,pavonite| silver ores| heavy metals| argentite| electrum| chalcophile elements| native elements,silver,
472,http://linkeddata.ge.imati.cnr.it/resource/ThIST/arsenico,http://aims.fao.org/aos/agrovoc/c_629,E,Semimetals,,,Arsenic,As (symbol),metals,,realgar| chalcophile elements| orpiment| native elements| arsenopyrite| arsenic ores,arsenic,
473,http://linkeddata.ge.imati.cnr.it/resource/ThIST/attinidi,http://aims.fao.org/aos/agrovoc/c_106,E,Transition elements,Neptunium| Americium| Curium| Plutonium| Uranium,,Actinides,,metals,americium| U-238| U-238/Th-230| Th-232| nobelium| curium| einsteinium| neptunium| mendelevium| Pu-240/Pu-239| californium| lawrencium| Pu-240| U-235| U-234| plutonium| berkelium| U-238/U-234| Th-230| Th-232/Th-230| fermium| Pu-244| U-238/Pb-206| Pa-231| U-234/Th-230| Th-234| Pu-239| U-238/Pb-204| Th-228| actinium| uranium| thorium| Am-241| protactinium| U-238/U-235| Pu-238,trans-uranium elements| Th-232/Th-228,actinides,
474,http://linkeddata.ge.imati.cnr.it/resource/ThIST/bismuto,http://aims.fao.org/aos/agrovoc/c_938,E,Metallic elements,,,Bismuth,Bi (symbol),metals,,heavy metals| native elements| bismuth ores,bismuth,
475,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cadmio,http://aims.fao.org/aos/agrovoc/c_1178,E,Transition elements,,,Cadmium,Cd (symbol),metals,,heavy metals| chalcophile elements| cadmium ores,cadmium,
476,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cobalto,http://aims.fao.org/aos/agrovoc/c_1702,E,Transition elements,,,Cobalt,Co (symbol),metals,Co-60,cobalt ores| heavy metals| siderophile elements| cobaltite,cobalt,
477,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromo,http://aims.fao.org/aos/agrovoc/c_1595,E,Transition elements,,,Chromium,Cr (symbol),metals,Cr-51| Cr-53/Cr-52,chromite| chromates| crocoite| chromite ores,chromium,
478,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ferro,http://aims.fao.org/aos/agrovoc/c_3950,E,Transition elements,,,Iron,Fe (symbol),metals,Fe-55| Fe-59| Fe-57,steel| gossan| ferruginous composition| heavy metals| iron meteorites| iron ores| kamacite| hematite| siderophile elements| iron-rich composition| ferrous iron| ferroalloys| chalcophile elements| ferric iron| native elements| ferromanganese composition,iron,
479,http://linkeddata.ge.imati.cnr.it/resource/ThIST/indio,http://aims.fao.org/aos/agrovoc/c_32485,E,Metallic elements,,,Indium,,metals,,,indium,
480,http://linkeddata.ge.imati.cnr.it/resource/ThIST/manganese,http://aims.fao.org/aos/agrovoc/c_4570,E,Transition elements,,,Manganese,Mn (symbol),metals,Mn-53| Mn-54,lithophile elements| heavy metals| manganese ores| manganese minerals| manganese oxides| ferromanganese composition| manganese composition,manganese,
481,http://linkeddata.ge.imati.cnr.it/resource/ThIST/mercurio,http://aims.fao.org/aos/agrovoc/c_4751,E,Transition elements,,,Mercury,Hg (symbol),metals,,cinnabar| amalgam| mercury ores| native elements,mercury,
482,http://linkeddata.ge.imati.cnr.it/resource/ThIST/molibdeno,http://aims.fao.org/aos/agrovoc/c_4901,E,Transition elements,,,Molybdenum,Mo (symbol),metals,,porphyry molybdenum| molybdenum ores| molybdenite,molybdenum,
